policy_id,customer_id,policy_type,plan_name,policy_start_date,policy_end_date,premium_amount,sum_assured,policy_status
P0031,C017,Health,Silver Health,2024-10-15,2025-10-15,21750,600000,Active
P0032,C024,Motor,Third Party,2024-10-24,2026-10-24,17000,1000000,Active
P0033,C031,Life,Endowment,2024-11-02,2025-11-02,31250,2800000,Expired
P0034,C038,Travel,Domestic Travel,2024-11-11,2025-11-11,13500,1400000,Cancelled
P0035,C045,Home,Property Plus,2024-11-20,2025-11-20,15000,1500000,Active
P0036,C052,Health,Family Health,2024-11-29,2026-11-29,19250,600000,Active
P0037,C059,Motor,Comprehensive,2024-12-08,2025-12-08,14500,1000000,Active
P0038,C066,Life,Whole Life,2024-12-17,2025-12-17,28750,2800000,Expired
P0039,C073,Travel,Student Travel,2024-12-26,2025-12-26,11000,1400000,Cancelled
P0040,C080,Home,Home Secure,2025-01-04,2027-01-04,21250,1500000,Active
P0041,C087,Health,Gold Health,2025-01-13,2026-01-13,25500,600000,Active
P0042,C094,Motor,Zero Dep,2025-01-22,2026-01-22,12000,1000000,Active
P0043,C001,Life,Term Life,2025-01-31,2026-01-31,26250,2800000,Expired
P0044,C008,Travel,International Travel,2025-02-09,2027-02-09,8500,1400000,Cancelled
P0045,C015,Home,Home Premium,2025-02-18,2026-02-18,18750,1500000,Active
P0046,C022,Health,Silver Health,2025-02-27,2026-02-27,23000,600000,Active
P0047,C029,Motor,Third Party,2025-03-08,2026-03-08,18250,1000000,Active
P0048,C036,Life,Endowment,2025-03-17,2027-03-17,32500,2800000,Expired
P0049,C043,Travel,Domestic Travel,2025-03-26,2026-03-26,6000,1400000,Cancelled
P0050,C050,Home,Property Plus,2025-04-04,2026-04-04,16250,1500000,Active
P0051,C057,Health,Family Health,2025-04-13,2026-04-13,20500,600000,Active
P0052,C064,Motor,Comprehensive,2025-04-22,2027-04-22,15750,1000000,Active
P0053,C071,Life,Whole Life,2025-05-01,2026-05-01,30000,2800000,Expired
P0054,C078,Travel,Student Travel,2025-05-10,2026-05-10,12250,1400000,Cancelled
P0055,C085,Home,Home Secure,2025-05-19,2026-05-19,22500,1500000,Active
P0056,C092,Health,Gold Health,2025-05-28,2027-05-28,18000,600000,Active
P0057,C099,Motor,Zero Dep,2025-06-06,2026-06-06,13250,1000000,Active
P0058,C006,Life,Term Life,2025-06-15,2026-06-15,27500,2800000,Expired
P0059,C013,Travel,International Travel,2025-06-24,2026-06-24,9750,1400000,Cancelled
P0060,C020,Home,Home Premium,2025-07-03,2027-07-03,20000,1500000,Active
P0061,C027,Health,Silver Health,2025-07-12,2026-07-12,24250,600000,Active
P0062,C034,Motor,Third Party,2025-07-21,2026-07-21,19500,1000000,Active
P0063,C041,Life,Endowment,2025-07-30,2026-07-30,25000,2800000,Expired
P0064,C048,Travel,Domestic Travel,2025-08-08,2027-08-08,7250,1400000,Cancelled
P0065,C055,Home,Property Plus,2025-08-17,2026-08-17,17500,1500000,Active
P0066,C062,Health,Family Health,2025-08-26,2026-08-26,21750,600000,Active
P0067,C069,Motor,Comprehensive,2025-09-04,2026-09-04,17000,1000000,Active
P0068,C076,Life,Whole Life,2025-09-13,2027-09-13,31250,2800000,Expired
P0069,C083,Travel,Student Travel,2025-09-22,2026-09-22,13500,1400000,Cancelled
P0070,C090,Home,Home Secure,2025-10-01,2026-10-01,15000,1500000,Active
P0071,C097,Health,Gold Health,2025-10-10,2026-10-10,19250,600000,Active
P0072,C004,Motor,Zero Dep,2025-10-19,2027-10-19,14500,1000000,Active
P0073,C011,Life,Term Life,2024-01-17,2025-01-16,28750,2800000,Expired
P0074,C018,Travel,International Travel,2024-01-26,2025-01-25,11000,1400000,Cancelled
P0075,C025,Home,Home Premium,2024-02-04,2025-02-03,21250,1500000,Active
P0076,C032,Health,Silver Health,2024-02-13,2026-02-12,25500,600000,Active
P0077,C039,Motor,Third Party,2024-02-22,2025-02-21,12000,1000000,Active
P0078,C046,Life,Endowment,2024-03-02,2025-03-02,26250,2800000,Expired
P0079,C053,Travel,Domestic Travel,2024-03-11,2025-03-11,8500,1400000,Cancelled
P0080,C060,Home,Property Plus,2024-03-20,2026-03-20,18750,1500000,Active
P0081,C067,Health,Family Health,2024-03-29,2025-03-29,23000,600000,Active
P0082,C074,Motor,Comprehensive,2024-04-07,2025-04-07,18250,1000000,Active
P0083,C081,Life,Whole Life,2024-04-16,2025-04-16,32500,2800000,Expired
P0084,C088,Travel,Student Travel,2024-04-25,2026-04-25,6000,1400000,Cancelled
P0085,C095,Home,Home Secure,2024-05-04,2025-05-04,16250,1500000,Active
P0086,C002,Health,Gold Health,2024-05-13,2025-05-13,20500,600000,Active
P0087,C009,Motor,Zero Dep,2024-05-22,2025-05-22,15750,1000000,Active
P0088,C016,Life,Term Life,2024-05-31,2026-05-31,30000,2800000,Expired
P0089,C023,Travel,International Travel,2024-06-09,2025-06-09,12250,1400000,Cancelled
P0090,C030,Home,Home Premium,2024-06-18,2025-06-18,22500,1500000,Active
P0091,C037,Health,Silver Health,2024-06-27,2025-06-27,18000,600000,Active
P0092,C044,Motor,Third Party,2024-07-06,2026-07-06,13250,1000000,Active
P0093,C051,Life,Endowment,2024-07-15,2025-07-15,27500,2800000,Expired
P0094,C058,Travel,Domestic Travel,2024-07-24,2025-07-24,9750,1400000,Cancelled
P0095,C065,Home,Property Plus,2024-08-02,2025-08-02,20000,1500000,Active
P0096,C072,Health,Family Health,2024-08-11,2026-08-11,24250,600000,Active
P0097,C079,Motor,Comprehensive,2024-08-20,2025-08-20,19500,1000000,Active
P0098,C086,Life,Whole Life,2024-08-29,2025-08-29,25000,2800000,Expired
P0099,C093,Travel,Student Travel,2024-09-07,2025-09-07,7250,1400000,Cancelled
P0100,C100,Home,Home Secure,2024-09-16,2026-09-16,17500,1500000,Active
P0101,C007,Health,Gold Health,2024-09-25,2025-09-25,21750,600000,Active
P0102,C014,Motor,Zero Dep,2024-10-04,2025-10-04,17000,1000000,Active
P0103,C021,Life,Term Life,2024-10-13,2025-10-13,31250,2800000,Expired
P0104,C028,Travel,International Travel,2024-10-22,2026-10-22,13500,1400000,Cancelled
P0105,C035,Home,Home Premium,2024-10-31,2025-10-31,15000,1500000,Active
P0106,C042,Health,Silver Health,2024-11-09,2025-11-09,19250,600000,Active
P0107,C049,Motor,Third Party,2024-11-18,2025-11-18,14500,1000000,Active
P0108,C056,Life,Endowment,2024-11-27,2026-11-27,28750,2800000,Expired
P0109,C063,Travel,Domestic Travel,2024-12-06,2025-12-06,11000,1400000,Cancelled
P0110,C070,Home,Property Plus,2024-12-15,2025-12-15,21250,1500000,Active
P0111,C077,Health,Family Health,2024-12-24,2025-12-24,25500,600000,Active
P0112,C084,Motor,Comprehensive,2025-01-02,2027-01-02,12000,1000000,Active
P0113,C091,Life,Whole Life,2025-01-11,2026-01-11,26250,2800000,Expired
P0114,C098,Travel,Student Travel,2025-01-20,2026-01-20,8500,1400000,Cancelled
P0115,C005,Home,Home Secure,2025-01-29,2026-01-29,18750,1500000,Active
P0116,C012,Health,Gold Health,2025-02-07,2027-02-07,23000,600000,Active
P0117,C019,Motor,Zero Dep,2025-02-16,2026-02-16,18250,1000000,Active
P0118,C026,Life,Term Life,2025-02-25,2026-02-25,32500,2800000,Expired
P0119,C033,Travel,International Travel,2025-03-06,2026-03-06,6000,1400000,Cancelled
P0120,C040,Home,Home Premium,2025-03-15,2027-03-15,16250,1500000,Active
P0121,C047,Health,Silver Health,2025-03-24,2026-03-24,20500,600000,Active
P0122,C054,Motor,Third Party,2025-04-02,2026-04-02,15750,1000000,Active
P0123,C061,Life,Endowment,2025-04-11,2026-04-11,30000,2800000,Expired
P0124,C068,Travel,Domestic Travel,2025-04-20,2027-04-20,12250,1400000,Cancelled
P0125,C075,Home,Property Plus,2025-04-29,2026-04-29,22500,1500000,Active
P0126,C082,Health,Family Health,2025-05-08,2026-05-08,18000,600000,Active
P0127,C089,Motor,Comprehensive,2025-05-17,2026-05-17,13250,1000000,Active
P0128,C096,Life,Whole Life,2025-05-26,2027-05-26,27500,2800000,Expired
P0129,C003,Travel,Student Travel,2025-06-04,2026-06-04,9750,1400000,Cancelled
P0130,C010,Home,Home Secure,2025-06-13,2026-06-13,20000,1500000,Active
P0131,C017,Health,Gold Health,2025-06-22,2026-06-22,24250,600000,Active
P0132,C024,Motor,Zero Dep,2025-07-01,2027-07-01,19500,1000000,Active
P0133,C031,Life,Term Life,2025-07-10,2026-07-10,25000,2800000,Expired
P0134,C038,Travel,International Travel,2025-07-19,2026-07-19,7250,1400000,Cancelled
P0135,C045,Home,Home Premium,2025-07-28,2026-07-28,17500,1500000,Active
P0136,C052,Health,Silver Health,2025-08-06,2027-08-06,21750,600000,Active
P0137,C059,Motor,Third Party,2025-08-15,2026-08-15,17000,1000000,Active
P0138,C066,Life,Endowment,2025-08-24,2026-08-24,31250,2800000,Expired
P0139,C073,Travel,Domestic Travel,2025-09-02,2026-09-02,13500,1400000,Cancelled
P0140,C080,Home,Property Plus,2025-09-11,2027-09-11,15000,1500000,Active
P0141,C087,Health,Family Health,2025-09-20,2026-09-20,19250,600000,Active
P0142,C094,Motor,Comprehensive,2025-09-29,2026-09-29,14500,1000000,Active
P0143,C001,Life,Whole Life,2025-10-08,2026-10-08,28750,2800000,Expired
P0144,C008,Travel,Student Travel,2025-10-17,2027-10-17,11000,1400000,Cancelled
P0145,C015,Home,Home Secure,2024-01-15,2025-01-14,21250,1500000,Active
P0146,C022,Health,Gold Health,2024-01-24,2025-01-23,25500,600000,Active
P0147,C029,Motor,Zero Dep,2024-02-02,2025-02-01,12000,1000000,Active
P0148,C036,Life,Term Life,2024-02-11,2026-02-10,26250,2800000,Expired
P0149,C043,Travel,International Travel,2024-02-20,2025-02-19,8500,1400000,Cancelled
P0150,C050,Home,Home Premium,2024-02-29,2025-02-28,18750,1500000,Active
