payment_id,policy_id,customer_id,payment_date,payment_amount,payment_method,payment_status
PAY00089,P0013,C091,2025-07-07,32500.0,Net Banking,Failed
PAY00090,P0030,C010,2025-07-13,8750.0,Auto Debit,Paid
PAY00091,P0047,C029,2025-07-19,18250.0,UPI,Paid
PAY00092,P0064,C048,2025-07-25,7250.0,Credit Card,Paid
PAY00093,P0081,C067,2025-07-31,23000.0,Debit Card,Pending
PAY00094,P0098,C086,2025-08-06,25000.0,Net Banking,Failed
PAY00095,P0115,C005,2025-08-12,9375.0,Auto Debit,Paid
PAY00096,P0132,C024,2025-08-18,19500.0,UPI,Paid
PAY00097,P0149,C043,2025-08-24,8500.0,Credit Card,Paid
PAY00098,P0016,C012,2025-08-30,20500.0,Debit Card,Pending
PAY00099,P0033,C031,2025-09-05,31250.0,Net Banking,Failed
PAY00100,P0050,C050,2025-09-11,8125.0,Auto Debit,Paid
PAY00101,P0067,C069,2025-09-17,17000.0,UPI,Paid
PAY00102,P0084,C088,2025-09-23,6000.0,Credit Card,Paid
PAY00103,P0101,C007,2025-09-29,21750.0,Debit Card,Pending
PAY00104,P0118,C026,2025-10-05,32500.0,Net Banking,Failed
PAY00105,P0135,C045,2025-10-11,8750.0,Auto Debit,Paid
PAY00106,P0002,C014,2025-10-17,14500.0,UPI,Paid
PAY00107,P0019,C033,2025-10-23,12250.0,Credit Card,Paid
PAY00108,P0036,C052,2025-10-29,19250.0,Debit Card,Pending
PAY00109,P0053,C071,2025-11-04,30000.0,Net Banking,Failed
PAY00110,P0070,C090,2025-11-10,7500.0,Auto Debit,Paid
PAY00111,P0087,C009,2025-11-16,15750.0,UPI,Paid
PAY00112,P0104,C028,2025-11-22,13500.0,Credit Card,Paid
PAY00113,P0121,C047,2025-11-28,20500.0,Debit Card,Pending
PAY00114,P0138,C066,2025-12-04,31250.0,Net Banking,Failed
PAY00115,P0005,C035,2025-12-10,10625.0,Auto Debit,Paid
PAY00116,P0022,C054,2025-12-16,13250.0,UPI,Paid
PAY00117,P0039,C073,2024-01-22,11000.0,Credit Card,Paid
PAY00118,P0056,C092,2024-01-28,18000.0,Debit Card,Pending
PAY00119,P0073,C011,2024-02-03,28750.0,Net Banking,Failed
PAY00120,P0090,C030,2024-02-09,11250.0,Auto Debit,Paid
PAY00121,P0107,C049,2024-02-15,14500.0,UPI,Paid
PAY00122,P0124,C068,2024-02-21,12250.0,Credit Card,Paid
PAY00123,P0141,C087,2024-02-27,19250.0,Debit Card,Pending
PAY00124,P0008,C056,2024-03-04,26250.0,Net Banking,Failed
PAY00125,P0025,C075,2024-03-10,10000.0,Auto Debit,Paid
PAY00126,P0042,C094,2024-03-16,12000.0,UPI,Paid
PAY00127,P0059,C013,2024-03-22,9750.0,Credit Card,Paid
PAY00128,P0076,C032,2024-03-28,25500.0,Debit Card,Pending
PAY00129,P0093,C051,2024-04-03,27500.0,Net Banking,Failed
PAY00130,P0110,C070,2024-04-09,10625.0,Auto Debit,Paid
PAY00131,P0127,C089,2024-04-15,13250.0,UPI,Paid
PAY00132,P0144,C008,2024-04-21,11000.0,Credit Card,Paid
PAY00133,P0011,C077,2024-04-27,23000.0,Debit Card,Pending
PAY00134,P0028,C096,2024-05-03,25000.0,Net Banking,Failed
PAY00135,P0045,C015,2024-05-09,9375.0,Auto Debit,Paid
PAY00136,P0062,C034,2024-05-15,19500.0,UPI,Paid
PAY00137,P0079,C053,2024-05-21,8500.0,Credit Card,Paid
PAY00138,P0096,C072,2024-05-27,24250.0,Debit Card,Pending
PAY00139,P0113,C091,2024-06-02,26250.0,Net Banking,Failed
PAY00140,P0130,C010,2024-06-08,10000.0,Auto Debit,Paid
PAY00141,P0147,C029,2024-06-14,12000.0,UPI,Paid
PAY00142,P0014,C098,2024-06-20,6000.0,Credit Card,Paid
PAY00143,P0031,C017,2024-06-26,21750.0,Debit Card,Pending
PAY00144,P0048,C036,2024-07-02,32500.0,Net Banking,Failed
PAY00145,P0065,C055,2024-07-08,8750.0,Auto Debit,Paid
PAY00146,P0082,C074,2024-07-14,18250.0,UPI,Paid
PAY00147,P0099,C093,2024-07-20,7250.0,Credit Card,Paid
PAY00148,P0116,C012,2024-07-26,23000.0,Debit Card,Pending
PAY00149,P0133,C031,2024-08-01,25000.0,Net Banking,Failed
PAY00150,P0150,C050,2024-08-07,9375.0,Auto Debit,Paid
PAY00151,P0017,C019,2024-08-13,15750.0,UPI,Paid
PAY00152,P0034,C038,2024-08-19,13500.0,Credit Card,Paid
PAY00153,P0051,C057,2024-08-25,20500.0,Debit Card,Pending
PAY00154,P0068,C076,2024-08-31,31250.0,Net Banking,Failed
PAY00155,P0085,C095,2024-09-06,8125.0,Auto Debit,Paid
PAY00156,P0102,C014,2024-09-12,17000.0,UPI,Paid
PAY00157,P0119,C033,2024-09-18,6000.0,Credit Card,Paid
PAY00158,P0136,C052,2024-09-24,21750.0,Debit Card,Pending
PAY00159,P0003,C021,2024-09-30,28750.0,Net Banking,Failed
PAY00160,P0020,C040,2024-10-06,11250.0,Auto Debit,Paid
PAY00161,P0037,C059,2024-10-12,14500.0,UPI,Paid
PAY00162,P0054,C078,2024-10-18,12250.0,Credit Card,Paid
PAY00163,P0071,C097,2024-10-24,19250.0,Debit Card,Pending
PAY00164,P0088,C016,2024-10-30,30000.0,Net Banking,Failed
PAY00165,P0105,C035,2024-11-05,7500.0,Auto Debit,Paid
PAY00166,P0122,C054,2024-11-11,15750.0,UPI,Paid
PAY00167,P0139,C073,2024-11-17,13500.0,Credit Card,Paid
PAY00168,P0006,C042,2024-11-23,25500.0,Debit Card,Pending
PAY00169,P0023,C061,2024-11-29,27500.0,Net Banking,Failed
PAY00170,P0040,C080,2024-12-05,10625.0,Auto Debit,Paid
PAY00171,P0057,C099,2024-12-11,13250.0,UPI,Paid
PAY00172,P0074,C018,2024-12-17,11000.0,Credit Card,Paid
PAY00173,P0091,C037,2024-12-23,18000.0,Debit Card,Pending
PAY00174,P0108,C056,2024-12-29,28750.0,Net Banking,Failed
PAY00175,P0125,C075,2025-01-04,11250.0,Auto Debit,Paid
PAY00176,P0142,C094,2025-01-10,14500.0,UPI,Paid
PAY00177,P0009,C063,2025-01-16,8500.0,Credit Card,Paid
PAY00178,P0026,C082,2025-01-22,24250.0,Debit Card,Pending
PAY00179,P0043,C001,2025-01-28,26250.0,Net Banking,Failed
PAY00180,P0060,C020,2025-02-03,10000.0,Auto Debit,Paid
PAY00181,P0077,C039,2025-02-09,12000.0,UPI,Paid
PAY00182,P0094,C058,2025-02-15,9750.0,Credit Card,Paid
PAY00183,P0111,C077,2025-02-21,25500.0,Debit Card,Pending
PAY00184,P0128,C096,2025-02-27,27500.0,Net Banking,Failed
PAY00185,P0145,C015,2025-03-05,10625.0,Auto Debit,Paid
PAY00186,P0012,C084,2025-03-11,18250.0,UPI,Paid
PAY00187,P0029,C003,2025-03-17,7250.0,Credit Card,Paid
PAY00188,P0046,C022,2025-03-23,23000.0,Debit Card,Pending
PAY00189,P0063,C041,2025-03-29,25000.0,Net Banking,Failed
PAY00190,P0080,C060,2025-04-04,9375.0,Auto Debit,Paid
PAY00191,P0097,C079,2025-04-10,19500.0,UPI,Paid
PAY00192,P0114,C098,2025-04-16,8500.0,Credit Card,Paid
PAY00193,P0131,C017,2025-04-22,24250.0,Debit Card,Pending
PAY00194,P0148,C036,2025-04-28,26250.0,Net Banking,Failed
PAY00195,P0015,C005,2025-05-04,8125.0,Auto Debit,Paid
PAY00196,P0032,C024,2025-05-10,17000.0,UPI,Paid
PAY00197,P0049,C043,2025-05-16,6000.0,Credit Card,Paid
PAY00198,P0066,C062,2025-05-22,21750.0,Debit Card,Pending
PAY00199,P0083,C081,2025-05-28,32500.0,Net Banking,Failed
PAY00200,P0100,C100,2025-06-03,8750.0,Auto Debit,Paid
PAY00201,P0117,C019,2025-06-09,18250.0,UPI,Paid
PAY00202,P0134,C038,2025-06-15,7250.0,Credit Card,Paid
PAY00203,P0001,C007,2025-06-21,19250.0,Debit Card,Pending
PAY00204,P0018,C026,2025-06-27,30000.0,Net Banking,Failed
PAY00205,P0035,C045,2025-07-03,7500.0,Auto Debit,Paid
PAY00206,P0052,C064,2025-07-09,15750.0,UPI,Paid
PAY00207,P0069,C083,2025-07-15,13500.0,Credit Card,Paid
PAY00208,P0086,C002,2025-07-21,20500.0,Debit Card,Pending
PAY00209,P0103,C021,2025-07-27,31250.0,Net Banking,Failed
PAY00210,P0120,C040,2025-08-02,8125.0,Auto Debit,Paid
PAY00211,P0137,C059,2025-08-08,17000.0,UPI,Paid
PAY00212,P0004,C028,2025-08-14,11000.0,Credit Card,Paid
PAY00213,P0021,C047,2025-08-20,18000.0,Debit Card,Pending
PAY00214,P0038,C066,2025-08-26,28750.0,Net Banking,Failed
PAY00215,P0055,C085,2025-09-01,11250.0,Auto Debit,Paid
PAY00216,P0072,C004,2025-09-07,14500.0,UPI,Paid
PAY00217,P0089,C023,2025-09-13,12250.0,Credit Card,Paid
PAY00218,P0106,C042,2025-09-19,19250.0,Debit Card,Pending
PAY00219,P0123,C061,2025-09-25,30000.0,Net Banking,Failed
PAY00220,P0140,C080,2025-10-01,7500.0,Auto Debit,Paid
PAY00221,P0007,C049,2025-10-07,12000.0,UPI,Paid
PAY00222,P0024,C068,2025-10-13,9750.0,Credit Card,Paid
PAY00223,P0041,C087,2025-10-19,25500.0,Debit Card,Pending
PAY00224,P0058,C006,2025-10-25,27500.0,Net Banking,Failed
PAY00225,P0075,C025,2025-10-31,10625.0,Auto Debit,Paid
PAY00226,P0092,C044,2025-11-06,13250.0,UPI,Paid
PAY00227,P0109,C063,2025-11-12,11000.0,Credit Card,Paid
PAY00228,P0126,C082,2025-11-18,18000.0,Debit Card,Pending
PAY00229,P0143,C001,2025-11-24,28750.0,Net Banking,Failed
PAY00230,P0010,C070,2025-11-30,9375.0,Auto Debit,Paid
PAY00231,P0027,C089,2025-12-06,19500.0,UPI,Paid
PAY00232,P0044,C008,2025-12-12,8500.0,Credit Card,Paid
PAY00233,P0061,C027,2025-12-18,24250.0,Debit Card,Pending
PAY00234,P0078,C046,2024-01-24,26250.0,Net Banking,Failed
PAY00235,P0095,C065,2024-01-30,10000.0,Auto Debit,Paid
PAY00236,P0112,C084,2024-02-05,12000.0,UPI,Paid
PAY00237,P0129,C003,2024-02-11,9750.0,Credit Card,Paid
PAY00238,P0146,C022,2024-02-17,25500.0,Debit Card,Pending
PAY00239,P0013,C091,2024-02-23,32500.0,Net Banking,Failed
PAY00240,P0030,C010,2024-02-29,8750.0,Auto Debit,Paid
PAY00241,P0047,C029,2024-03-06,18250.0,UPI,Paid
PAY00242,P0064,C048,2024-03-12,7250.0,Credit Card,Paid
PAY00243,P0081,C067,2024-03-18,23000.0,Debit Card,Pending
PAY00244,P0098,C086,2024-03-24,25000.0,Net Banking,Failed
PAY00245,P0115,C005,2024-03-30,9375.0,Auto Debit,Paid
PAY00246,P0132,C024,2024-04-05,19500.0,UPI,Paid
PAY00247,P0149,C043,2024-04-11,8500.0,Credit Card,Paid
PAY00248,P0016,C012,2024-04-17,20500.0,Debit Card,Pending
PAY00249,P0033,C031,2024-04-23,31250.0,Net Banking,Failed
PAY00250,P0050,C050,2024-04-29,8125.0,Auto Debit,Paid
